"51","5","m","yard"
"53","5","inch","cm"
"54","14","EUR","HUF"
"55","3","pint","dm**3"
"56","14","EUR","CHF"
"57","14","EUR","PLN"
"58","14","CZK","EUR"
"59","9","inn",\N
"60","5","m","km"
"61","3","cup","dl"
"62","5","inch","dm"
"63","10","50","110"
"64","3","dm**3","cup"
"65","4","ft**2","dm**2"
"66","4","km**2","mile**2"
"67","3","dl","cup"
"68","5","cm","inch"
"69","5","m","ft"
"70","3","yard**3","m**3"
"71","3","dl","pint"
"72","6","degC","kelvin"
"73","4","mile**2","are"
"74","5","ft","dm"
"75","14","EUR","RUB"
"76","14","EUR","USD"
"77","4","are","acre"
"78","4","are","mile**2"
"79","14","CZK","RUB"
"80","6","degF","degC"
"81","4","m**2","yard**2"
"82","14","CZK","PLN"
"83","3","dm**3","pint"
"84","5","dm","inch"
"85","3","pint","dl"
"86","5","ft","m"
"87","4","m**2","ft**2"
"88","14","CZK","GBP"
"89","3","tbsp","dl"
"90","3","dm**3","tbsp"
"91","9","out",\N
"92","3","m**3","ft**3"
"93","3","dl","tbsp"
"94","4","ft**2","m**2"
"95","14","EUR","CZK"
"96","4","mile**2","km**2"
"97","6","degC","degF"
"98","14","CZK","USD"
"99","14","EUR","GBP"
"100","3","dm**3","inch**3"
"101","3","quart","dm**3"
"102","6","degF","kelvin"
"103","3","dm**3","quart"
"104","5","yard","m"
"105","6","kelvin","degF"
"106","4","dm**2","ft**2"
"107","3","cup","dm**3"
"108","4","yard**2","m**2"
"109","4","acre","are"
"110","4","acre","km**2"
"111","4","cm**2","inch**2"
"112","6","kelvin","degC"
"113","8","-1",\N
"114","14","CZK","CHF"
"115","5","km","mile"
"116","3","m**3","yard**3"
"117","4","inch**2","cm**2"
"118","14","CZK","HUF"
"119","5","dm","ft"
"120","3","ft**3","m**3"
"121","11","50",\N
"122","11","132",\N
"123","11","80",\N
"124","11","99",\N
"125","11","73",\N
"126","11","110",\N
"127","11","115",\N
"128","11","86",\N
"129","11","72",\N
"130","11","96",\N
"131","11","46",\N
"132","11","15",\N
"133","12","5","5"
"134","12","7","5"
"135","12","1","10"
"136","12","11","3"
"137","12","3","9"
"138","12","3","1"
"139","12","5","1"
"140","12","5","2"
"141","12","3","2"
"142","12","3","0"
"144","12","3","4"
"145","13","2",\N
"146","13","3",\N
"147","13","4",\N
"148","13","5",\N
"149","13","6",\N
"150","13","7",\N
"151","13","8",\N
"152","13","9",\N
"153","13","10",\N
"154","7","45*5",\N
"155","7","5*3*4",\N
"156","7","(18-6)*2",\N
"157","7","789 + 75",\N
"158","7","2659-423",\N
"159","7","(236*2)-695",\N
"160","7","4*0.95",\N
"162","7","2*0.6+1.95",\N
"163","7","10*1.95*0.2",\N
"164","7","(1+6+2+8)*2-3-14",\N
"165","7","659-235+5*13",\N
"166","7","6*0.23",\N
